reportingEntity,facilityName,type,state,electricityProductionGJ,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,gridConnected,grid,primaryFuel,importantNotes
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,567719.0,157700.0,19,293.0,312,0.0,On,NEM,Wind,N/A
ACCIONA ENERGY OCEANIA PTY LTD,Royalla Solar Farm,F,ACT,213115.0,59199.0,0,15.0,15,0.0,On,NEM,Solar,N/A
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,2461803.0,683834.0,77,1144.0,1221,0.0,On,NEM,Wind,N/A
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,N/A,3242637.0,900733.0,96,1452.0,1548,,N/A,N/A,N/A,N/A
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,137094.0,38082.0,5,17.0,22,0.0,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,50275548.0,13965430.0,12253123,8306.0,12261429,0.88,On,NEM,Black Coal,N/A
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,266917.0,74144.0,83,839.0,922,0.0,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,27428.0,7619.0,1,97.0,98,0.0,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Clover Hydro,F,VIC,151368.0,42047.0,3,51.0,54,0.0,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,91666.0,25463.0,19260,86.0,19346,0.76,On,NEM,Gas,N/A
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,139785.0,38829.0,1,75.0,76,0.0,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,1608089.0,446691.0,0,727.0,727,0.0,On,NEM,Hydro,N/A
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,710341.0,197317.0,20,153.0,173,0.0,On,NEM,Hydro,N/A
