facility_id,name,name_clean,state,network_region,fuel_type,status,capacity_mw,latitude,longitude,name_key
barnawartha-solar-farm-vic,Barnawartha Solar Farm,Barnawartha Solar Farm,VIC,VIC1,Solar,Probable,64.0,-36.1054009,146.6735718,barnawartha-solar-farm
barwon-solar-farm-vic,Barwon solar farm,Barwon Solar Farm,VIC,VIC1,Solar,Probable,250.0,-38.2090551,143.9943963,barwon-solar-farm
boddington-giga-energy-wa,Boddington Giga Energy,Boddington Giga Energy,WA,,Solar,Probable,400.0,-32.792141,116.4210582,boddington-giga-energy
bulli-creek-solar-project-stage-1-qld,Bulli Creek Solar project Stage 1,Bulli Creek Solar Project Stage 1,QLD,QLD1,Solar,Probable,775.0,-26.5845379,153.0966873,bulli-creek-solar-project-stage-1
bullyard-solar-farm-qld,Bullyard Solar Farm,Bullyard Solar Farm,QLD,QLD1,Solar,Probable,100.0,-24.9514635,152.0476533,bullyard-solar-farm
bungaban-wind-farm-qld,Bungaban Wind Farm,Bungaban Wind Farm,QLD,QLD1,Wind,Probable,1400.0,-25.923731,150.153065,bungaban-wind-farm
campbells-forest-solar-farm-vic,Campbells Forest Solar Farm,Campbells Forest Solar Farm,VIC,VIC1,Solar,Probable,205.0,-38.1667381,144.3655969,campbells-forest-solar-farm
coppabella-wind-farm-nsw,Coppabella Wind Farm,Coppabella Wind Farm,NSW,NSW1,Wind,Probable,284.0,-35.7316667,147.7177778,coppabella-wind-farm
derby-solar-farm-battery-vic,Derby Solar Farm & Battery,Derby Solar Farm & Battery,VIC,VIC1,Solar,Probable,95.0,-36.6581115,144.0143231,derby-solar-farm-battery
elaine-solar-farm-vic,Elaine Solar Farm,Elaine Solar Farm,VIC,VIC1,Solar,Probable,125.0,-37.761595,144.0062833,elaine-solar-farm
eurimbula-solar-farm-qld,Eurimbula Solar Farm,Eurimbula Solar Farm,QLD,QLD1,Solar,Probable,696.0,-24.1195145,151.7481155,eurimbula-solar-farm
frasers-solar-farm-vic,Frasers Solar Farm,Frasers Solar Farm,VIC,VIC1,Solar,Probable,77.0,-36.7823654,143.6195678,frasers-solar-farm
ganymirra-solar-power-station-qld,Ganymirra Solar Power Station,Ganymirra Solar Power Station,QLD,QLD1,Solar,Probable,150.0,-24.9514635,150.6493798,ganymirra-solar-power-station
